timestamp,latitude,longitude,curvature
2125:09:04 12:47:10,45.9512185,-66.6881271666667,> 175m (Straight/Broad)
2125:09:04 12:47:11,45.9511811666667,-66.688175,> 175m (Straight/Broad)
2125:09:04 12:47:12,45.9511173333333,-66.6882566666667,> 175m (Straight/Broad)
2125:09:04 12:47:13,45.9510705,-66.688324,25m - 60m (Tight)
2125:09:04 12:47:14,45.9510375,-66.6883841666667,25m - 60m (Tight)
2125:09:04 12:47:15,45.9510135,-66.6884406666667,25m - 60m (Tight)
2125:09:04 12:47:16,45.9509971666667,-66.6884941666667,25m - 60m (Tight)
2125:09:04 12:47:17,45.9509858333333,-66.688549,25m - 60m (Tight)
2125:09:04 12:47:18,45.950979,-66.6886151666667,25m - 60m (Tight)
2125:09:04 12:47:19,45.9509878333333,-66.6887048333333,25m - 60m (Tight)
2125:09:04 12:47:20,45.9510138333333,-66.6888115,25m - 60m (Tight)
2125:09:04 12:47:21,45.9510573333333,-66.6889266666667,> 175m (Straight/Broad)
2125:09:04 12:47:22,45.9511123333333,-66.6890543333333,> 175m (Straight/Broad)
2125:09:04 12:47:23,45.9511715,-66.6891938333333,> 175m (Straight/Broad)
2125:09:04 12:47:24,45.9512283333333,-66.6893413333333,> 175m (Straight/Broad)
2125:09:04 12:47:25,45.9512838333333,-66.6894926666667,> 175m (Straight/Broad)
2125:09:04 12:47:26,45.9513391666667,-66.6896471666667,> 175m (Straight/Broad)
2125:09:04 12:47:27,45.9513938333333,-66.6898041666667,> 175m (Straight/Broad)
2125:09:04 12:47:28,45.9514496666667,-66.6899583333333,> 175m (Straight/Broad)
2125:09:04 12:47:29,45.9515103333333,-66.6901036666667,> 175m (Straight/Broad)
2125:09:04 12:47:30,45.9515695,-66.6902401666667,> 175m (Straight/Broad)
2125:09:04 12:47:31,45.9516518333333,-66.6904305,> 175m (Straight/Broad)
2125:09:04 12:47:32,45.9516776666667,-66.69049,> 175m (Straight/Broad)
2125:09:04 12:47:33,45.9517243333333,-66.6905985,> 175m (Straight/Broad)
2125:09:04 12:47:34,45.9517605,-66.6906966666667,> 175m (Straight/Broad)
2125:09:04 12:47:35,45.9517841666667,-66.6907978333333,> 175m (Straight/Broad)
2125:09:04 12:47:36,45.9517683333333,-66.6909088333333,> 175m (Straight/Broad)
2125:09:04 12:47:37,45.951724,-66.6910055,100m - 175m (Broad)
2125:09:04 12:47:38,45.9516538333333,-66.6910826666667,60m - 100m (Moderate)
2125:09:04 12:47:39,45.9515798333333,-66.6911675,100m - 175m (Broad)
2125:09:04 12:47:40,45.9515025,-66.6912653333333,60m - 100m (Moderate)
2125:09:04 12:47:41,45.9514246666667,-66.691377,60m - 100m (Moderate)
2125:09:04 12:47:42,45.9513481666667,-66.6915083333333,60m - 100m (Moderate)
2125:09:04 12:47:43,45.951242,-66.6917395,60m - 100m (Moderate)
2125:09:04 12:47:44,45.9512106666667,-66.6918261666667,60m - 100m (Moderate)
2125:09:04 12:47:45,45.9511558333333,-66.692015,> 175m (Straight/Broad)
2125:09:04 12:47:46,45.9511135,-66.6922255,> 175m (Straight/Broad)
2125:09:04 12:47:47,45.9510815,-66.6924538333333,> 175m (Straight/Broad)
2125:09:04 12:47:48,45.9510575,-66.6926996666667,> 175m (Straight/Broad)
2125:09:04 12:47:49,45.9510345,-66.6929585,> 175m (Straight/Broad)
2125:09:04 12:47:50,45.9510106666667,-66.6932288333333,> 175m (Straight/Broad)
2125:09:04 12:47:51,45.9509848333333,-66.6935105,> 175m (Straight/Broad)
2125:09:04 12:47:52,45.950957,-66.693803,> 175m (Straight/Broad)
2125:09:04 12:47:53,45.9509275,-66.6941055,> 175m (Straight/Broad)
2125:09:04 12:47:54,45.950897,-66.6944161666667,> 175m (Straight/Broad)
